Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
2,4,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Batch Cooking,Fusion,Somewhat aware,Summer,3.78
5,1,Mixed,Bulk Buying,Large,Medium,Often,Low,Batch Cooking,Fusion,Somewhat aware,Monsoon,2.73
2,1,Mixed,Bulk Buying,Medium,Low,Never,Medium,Batch Cooking,North Indian,Somewhat aware,Winter,1.8
5,4,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Italian,Somewhat aware,Winter,3.78
3,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Indian,Somewhat aware,All year,1.89
2,3,Vegetarian,Weekly,Medium,Medium,Often,Medium,Fresh Daily,North Indian,Not aware,Summer,2.84
3,2,Mixed,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,Chinese,Somewhat aware,All year,0.86
4,2,Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,South Indian,Not aware,Winter,2.17
5,4,Mixed,Daily,Small,Medium,Often,High,Fresh Daily,Street Food,Not aware,Summer,6.01
4,1,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Winter,0.88
6,4,Non-Vegetarian,Bulk Buying,Medium,Low,Never,Medium,Fresh Daily,Italian,Not aware,Summer,5.06
6,4,Vegetarian,Weekly,Medium,Low,Often,Low,Fresh Daily,Chinese,Somewhat aware,All year,3.27
5,3,Non-Vegetarian,Daily,Small,Low,Often,Low,Reheated,North Indian,Somewhat aware,Summer,3.96
4,2,Non-Vegetarian,Daily,Medium,Low,Often,Medium,Fresh Daily,Chinese,Not aware,Monsoon,3.65
2,1,Mixed,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,Fusion,Aware,Winter,0.83
3,3,Vegetarian,Daily,Small,Medium,Often,Medium,Reheated,Chinese,Not aware,Summer,3.88
1,2,Vegetarian,Daily,Medium,Low,Often,High,Reheated,Fusion,Not aware,All year,2.6
3,1,Mixed,Daily,Small,Low,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Winter,1.48
6,2,Non-Vegetarian,Daily,Large,Low,Sometimes,Low,Batch Cooking,South Indian,Not aware,Monsoon,3.43
3,4,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Indian,Somewhat aware,All year,2.57
1,2,Mixed,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Indian,Not aware,Summer,1.78
4,1,Non-Vegetarian,Weekly,Small,Medium,Often,High,Fresh Daily,South Indian,Not aware,Monsoon,3.47
6,3,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,South Indian,Not aware,Summer,2.7
6,1,Non-Vegetarian,Weekly,Small,Medium,Often,High,Batch Cooking,Indian,Somewhat aware,Summer,4.33
2,4,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Fresh Daily,Street Food,Not aware,Winter,4.73
3,4,Non-Vegetarian,Weekly,Large,Medium,Often,Low,Batch Cooking,North Indian,Not aware,All year,4.4
4,4,Non-Vegetarian,Weekly,Large,High,Often,Low,Reheated,Fusion,Somewhat aware,All year,3.75
2,4,Mixed,Daily,Large,Low,Sometimes,Medium,Fresh Daily,Chinese,Aware,All year,2.21
2,1,Non-Vegetarian,Daily,Small,Medium,Sometimes,Low,Batch Cooking,Street Food,Aware,Monsoon,2.34
2,1,Non-Vegetarian,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,Indian,Not aware,Monsoon,2.28
6,2,Non-Vegetarian,Daily,Medium,High,Often,Medium,Fresh Daily,Indian,Not aware,Monsoon,3.98
5,2,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Reheated,Indian,Not aware,All year,4.01
6,4,Vegetarian,Weekly,Medium,Medium,Never,High,Fresh Daily,Fusion,Not aware,All year,3.06
5,3,Non-Vegetarian,Daily,Large,Medium,Sometimes,Low,Batch Cooking,South Indian,Not aware,All year,4.78
6,3,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Winter,2.72
1,4,Vegetarian,Bulk Buying,Medium,High,Often,Low,Fresh Daily,Street Food,Not aware,Winter,4.27
6,3,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Reheated,Chinese,Not aware,All year,4.27
1,2,Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Street Food,Not aware,Winter,2.43
3,2,Vegetarian,Weekly,Small,Medium,Sometimes,High,Fresh Daily,South Indian,Not aware,All year,1.91
4,3,Non-Vegetarian,Daily,Small,Medium,Sometimes,Medium,Batch Cooking,Fusion,Aware,Summer,1.91
3,1,Mixed,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Fusion,Not aware,Summer,1.25
1,3,Vegetarian,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,South Indian,Not aware,Winter,1.98
2,3,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,South Indian,Somewhat aware,Winter,3.28
5,3,Non-Vegetarian,Weekly,Small,Medium,Often,Medium,Fresh Daily,Indian,Somewhat aware,Winter,4.08
2,3,Mixed,Weekly,Large,Low,Never,Medium,Fresh Daily,South Indian,Not aware,Summer,2.04
2,4,Mixed,Weekly,Large,Medium,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,All year,2.11
6,4,Vegetarian,Daily,Large,Low,Often,Low,Batch Cooking,Italian,Not aware,Summer,4.96
1,3,Vegetarian,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Indian,Somewhat aware,All year,0.96
6,2,Mixed,Daily,Medium,Medium,Often,Medium,Reheated,North Indian,Not aware,Summer,3.15
6,1,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,All year,1.49
4,4,Non-Vegetarian,Bulk Buying,Large,Medium,Sometimes,High,Fresh Daily,Indian,Not aware,Summer,4.82
1,4,Non-Vegetarian,Bulk Buying,Medium,Low,Sometimes,Low,Reheated,North Indian,Not aware,All year,3.72
1,3,Mixed,Bulk Buying,Small,High,Never,Low,Batch Cooking,North Indian,Not aware,Winter,2.49
2,4,Non-Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Italian,Not aware,Monsoon,3.27
4,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Reheated,Indian,Somewhat aware,Monsoon,5.24
1,4,Mixed,Bulk Buying,Small,Medium,Often,Medium,Fresh Daily,North Indian,Not aware,Monsoon,4.34
3,3,Non-Vegetarian,Daily,Medium,High,Sometimes,Medium,Fresh Daily,Fusion,Somewhat aware,All year,1.81
1,1,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Street Food,Not aware,All year,3.73
4,1,Vegetarian,Weekly,Small,High,Sometimes,Medium,Fresh Daily,Indian,Not aware,All year,1.21
1,1,Mixed,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Aware,Winter,0.59
5,2,Vegetarian,Weekly,Small,Medium,Often,Medium,Batch Cooking,Street Food,Somewhat aware,Monsoon,3.82
1,3,Mixed,Weekly,Medium,Low,Sometimes,Low,Reheated,Indian,Not aware,Winter,1.87
2,2,Vegetarian,Weekly,Small,High,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,All year,0.75
2,1,Mixed,Daily,Large,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,Monsoon,1.56
5,1,Non-Vegetarian,Bulk Buying,Medium,Medium,Never,High,Fresh Daily,South Indian,Not aware,Monsoon,3.13
1,4,Mixed,Daily,Medium,Medium,Never,Medium,Batch Cooking,North Indian,Not aware,Monsoon,2.17
3,4,Non-Vegetarian,Daily,Small,Low,Sometimes,Low,Batch Cooking,Fusion,Aware,All year,3.2
4,2,Vegetarian,Daily,Small,Medium,Sometimes,High,Batch Cooking,Street Food,Not aware,All year,3.14
4,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Summer,3.97
5,3,Vegetarian,Weekly,Small,Medium,Sometimes,Low,Reheated,North Indian,Not aware,Winter,3.25
5,4,Mixed,Bulk Buying,Medium,Medium,Often,High,Reheated,Italian,Not aware,All year,5.09
3,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,Summer,2.14
5,3,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,North Indian,Not aware,All year,3.4
2,2,Non-Vegetarian,Daily,Medium,High,Often,Medium,Batch Cooking,Fusion,Somewhat aware,Monsoon,2.69
6,3,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Indian,Aware,Monsoon,2.15
4,2,Mixed,Bulk Buying,Small,Medium,Never,High,Fresh Daily,South Indian,Somewhat aware,Winter,3.1
5,2,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Reheated,Fusion,Not aware,Summer,2.51
6,3,Non-Vegetarian,Weekly,Small,High,Never,Medium,Batch Cooking,Fusion,Not aware,Monsoon,3.56
5,3,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Fusion,Aware,All year,2.76
6,3,Non-Vegetarian,Daily,Medium,High,Sometimes,Low,Batch Cooking,Chinese,Not aware,All year,3.68
4,2,Vegetarian,Daily,Medium,Low,Never,Medium,Batch Cooking,South Indian,Somewhat aware,Summer,1.09
1,2,Mixed,Bulk Buying,Medium,Low,Often,Low,Batch Cooking,Indian,Not aware,Winter,4.33
3,1,Non-Vegetarian,Bulk Buying,Small,Low,Sometimes,High,Fresh Daily,Chinese,Aware,Winter,2.7
2,3,Vegetarian,Weekly,Small,High,Sometimes,Medium,Batch Cooking,Fusion,Somewhat aware,Winter,1.43
6,3,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Summer,2.37
2,4,Mixed,Bulk Buying,Medium,Medium,Never,Medium,Fresh Daily,North Indian,Aware,All year,1.93
2,3,Vegetarian,Daily,Medium,Medium,Often,High,Fresh Daily,North Indian,Not aware,Monsoon,3.14
2,2,Vegetarian,Weekly,Small,Low,Sometimes,Low,Batch Cooking,Indian,Aware,All year,2.27
4,1,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Reheated,Indian,Not aware,Summer,2.89
4,1,Non-Vegetarian,Daily,Small,High,Sometimes,Low,Fresh Daily,South Indian,Aware,All year,1.05
6,2,Non-Vegetarian,Daily,Medium,Medium,Never,High,Batch Cooking,South Indian,Somewhat aware,Summer,4.04
3,2,Vegetarian,Weekly,Medium,Medium,Never,High,Fresh Daily,Fusion,Somewhat aware,Summer,0.86
2,2,Vegetarian,Daily,Large,Medium,Sometimes,High,Batch Cooking,Indian,Somewhat aware,Summer,1.69
1,2,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Low,Reheated,Italian,Somewhat aware,All year,1.68
1,4,Mixed,Bulk Buying,Medium,Low,Often,Low,Fresh Daily,Fusion,Somewhat aware,Summer,3.58
3,1,Non-Vegetarian,Daily,Medium,High,Never,Medium,Batch Cooking,Indian,Somewhat aware,Monsoon,0.32
6,2,Non-Vegetarian,Weekly,Large,High,Sometimes,Medium,Batch Cooking,Chinese,Not aware,All year,2.94
4,1,Mixed,Weekly,Small,Medium,Never,Medium,Batch Cooking,Street Food,Somewhat aware,All year,1.72
6,2,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Indian,Not aware,Winter,2.33
1,3,Mixed,Weekly,Medium,High,Often,High,Batch Cooking,Italian,Not aware,Summer,2.75
1,1,Non-Vegetarian,Daily,Medium,Medium,Never,Low,Batch Cooking,Italian,Somewhat aware,Winter,1.02
6,2,Mixed,Bulk Buying,Medium,Low,Often,Low,Batch Cooking,Chinese,Not aware,Monsoon,5.09
1,1,Vegetarian,Daily,Small,Low,Never,Medium,Batch Cooking,Italian,Not aware,All year,1.56
1,4,Mixed,Daily,Medium,High,Sometimes,Low,Batch Cooking,Italian,Not aware,Monsoon,2.69
3,3,Mixed,Weekly,Large,Medium,Sometimes,Medium,Reheated,Indian,Not aware,Summer,2.48
6,1,Mixed,Daily,Medium,Medium,Often,Medium,Fresh Daily,Fusion,Somewhat aware,Summer,1.5
5,1,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Batch Cooking,Fusion,Not aware,Winter,2.44
1,1,Mixed,Bulk Buying,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Somewhat aware,Winter,2.29
6,2,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Reheated,North Indian,Somewhat aware,Monsoon,2.5
6,4,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Fresh Daily,Fusion,Not aware,Winter,4.04
5,3,Non-Vegetarian,Daily,Large,Medium,Often,Medium,Fresh Daily,Chinese,Somewhat aware,Summer,3.71
6,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Monsoon,4.63
2,2,Vegetarian,Weekly,Large,High,Often,High,Batch Cooking,Indian,Not aware,Summer,2.45
6,2,Non-Vegetarian,Weekly,Small,High,Often,Low,Batch Cooking,North Indian,Not aware,Summer,3.11
2,2,Mixed,Daily,Small,Low,Sometimes,High,Fresh Daily,Chinese,Not aware,Summer,1.87
5,1,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,Italian,Not aware,Summer,2.39
4,4,Non-Vegetarian,Daily,Medium,Medium,Never,Low,Batch Cooking,North Indian,Not aware,All year,3.4
5,1,Mixed,Bulk Buying,Medium,Low,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Summer,2.24
4,2,Vegetarian,Daily,Large,Low,Sometimes,High,Fresh Daily,Chinese,Somewhat aware,Winter,1.35
4,3,Mixed,Weekly,Large,Medium,Often,High,Fresh Daily,North Indian,Somewhat aware,Winter,3.09
4,1,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,Fusion,Somewhat aware,All year,2.08
5,2,Mixed,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Indian,Not aware,Monsoon,3.22
5,2,Mixed,Weekly,Medium,Medium,Often,Medium,Fresh Daily,South Indian,Not aware,Summer,2.74
1,2,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Street Food,Aware,Winter,2.41
5,1,Mixed,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Street Food,Not aware,All year,2.12
4,1,Mixed,Daily,Medium,Medium,Never,Medium,Batch Cooking,Fusion,Somewhat aware,All year,1.16
2,1,Mixed,Weekly,Small,High,Sometimes,Low,Reheated,Fusion,Not aware,Monsoon,1.44
4,2,Mixed,Bulk Buying,Large,Low,Often,Low,Batch Cooking,Chinese,Not aware,Winter,4.12
6,1,Non-Vegetarian,Daily,Small,High,Sometimes,Medium,Reheated,Indian,Somewhat aware,Winter,2.27
6,4,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Reheated,Fusion,Somewhat aware,Summer,3.16
6,1,Vegetarian,Weekly,Small,High,Never,Medium,Fresh Daily,Indian,Aware,Winter,0.97
3,3,Non-Vegetarian,Daily,Medium,High,Often,Low,Batch Cooking,South Indian,Somewhat aware,All year,3.65
5,3,Vegetarian,Weekly,Large,Low,Sometimes,Low,Fresh Daily,Chinese,Not aware,Winter,2.28
3,2,Non-Vegetarian,Weekly,Large,High,Sometimes,Low,Fresh Daily,North Indian,Aware,All year,1.63
5,4,Vegetarian,Daily,Medium,Low,Often,Low,Fresh Daily,Italian,Not aware,All year,4.35
4,1,Vegetarian,Bulk Buying,Small,Medium,Sometimes,Low,Fresh Daily,Indian,Not aware,Summer,2.69
2,1,Vegetarian,Weekly,Large,Medium,Often,Medium,Fresh Daily,Fusion,Not aware,Summer,1.72
2,2,Non-Vegetarian,Weekly,Small,High,Never,High,Reheated,Chinese,Somewhat aware,Monsoon,1.39
1,1,Mixed,Weekly,Medium,Low,Never,Low,Batch Cooking,South Indian,Somewhat aware,Winter,0.61
1,2,Mixed,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,Fusion,Not aware,Summer,1.41
3,2,Mixed,Daily,Small,Medium,Sometimes,Low,Fresh Daily,Indian,Aware,Winter,1.52
3,4,Non-Vegetarian,Weekly,Large,High,Sometimes,Medium,Fresh Daily,Italian,Not aware,Winter,2.75
1,2,Vegetarian,Bulk Buying,Small,High,Sometimes,Medium,Reheated,Street Food,Not aware,Monsoon,2.72
3,4,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Chinese,Not aware,Winter,3.58
4,4,Non-Vegetarian,Weekly,Small,High,Often,Low,Batch Cooking,South Indian,Somewhat aware,Summer,3.78
2,4,Non-Vegetarian,Weekly,Large,Medium,Often,Medium,Reheated,Street Food,Not aware,Monsoon,4.92
3,1,Mixed,Weekly,Medium,Medium,Often,Medium,Batch Cooking,South Indian,Not aware,Summer,2.49
3,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Italian,Aware,All year,2.54
4,3,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Italian,Not aware,Winter,2.86
3,4,Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Batch Cooking,Italian,Not aware,Monsoon,3.15
5,2,Vegetarian,Weekly,Medium,Medium,Never,High,Batch Cooking,South Indian,Not aware,Winter,3.0
2,4,Non-Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,North Indian,Not aware,Monsoon,4.84
3,3,Mixed,Daily,Small,Low,Never,Medium,Fresh Daily,Fusion,Somewhat aware,Winter,2.31
3,1,Vegetarian,Daily,Small,High,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Summer,0.27
2,2,Mixed,Weekly,Medium,High,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,All year,0.1
5,1,Non-Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Batch Cooking,Italian,Somewhat aware,Monsoon,3.34
2,4,Non-Vegetarian,Weekly,Large,Medium,Never,High,Reheated,Indian,Somewhat aware,All year,2.92
2,2,Vegetarian,Daily,Medium,Medium,Often,Low,Reheated,South Indian,Not aware,Monsoon,3.4
5,1,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Winter,1.95
6,3,Vegetarian,Bulk Buying,Large,Medium,Never,Medium,Fresh Daily,Chinese,Not aware,Summer,3.2
5,2,Mixed,Weekly,Large,Medium,Never,High,Batch Cooking,Chinese,Not aware,Monsoon,2.78
6,1,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,Chinese,Not aware,Summer,2.33
6,4,Vegetarian,Weekly,Medium,Low,Often,High,Batch Cooking,Italian,Not aware,All year,5.36
3,4,Vegetarian,Weekly,Large,Medium,Sometimes,High,Fresh Daily,Indian,Not aware,Summer,3.68
5,3,Vegetarian,Weekly,Medium,Medium,Often,Medium,Batch Cooking,Street Food,Not aware,Winter,4.53
2,3,Mixed,Daily,Large,Low,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Summer,2.17
3,2,Vegetarian,Daily,Large,Medium,Sometimes,Low,Batch Cooking,Indian,Not aware,All year,2.24
4,3,Vegetarian,Weekly,Medium,High,Often,Low,Fresh Daily,Street Food,Somewhat aware,All year,2.89
6,3,Mixed,Daily,Large,Medium,Often,Medium,Fresh Daily,Street Food,Not aware,Monsoon,5.04
6,1,Mixed,Weekly,Medium,Medium,Often,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,2.52
3,1,Non-Vegetarian,Daily,Small,Low,Sometimes,Medium,Reheated,Indian,Aware,Summer,1.55
4,2,Non-Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,Winter,3.09
2,2,Mixed,Weekly,Small,Medium,Often,Low,Batch Cooking,South Indian,Somewhat aware,Summer,3.37
5,1,Mixed,Bulk Buying,Medium,Low,Never,Low,Fresh Daily,South Indian,Somewhat aware,Summer,2.29
4,1,Mixed,Daily,Medium,High,Often,Medium,Batch Cooking,Street Food,Not aware,Monsoon,2.68
4,4,Vegetarian,Daily,Medium,Low,Often,High,Reheated,Fusion,Not aware,Winter,4.82
5,2,Mixed,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Not aware,All year,1.72
4,3,Non-Vegetarian,Weekly,Medium,High,Never,Medium,Batch Cooking,Chinese,Not aware,Winter,2.42
1,3,Non-Vegetarian,Daily,Small,Low,Often,Medium,Fresh Daily,Street Food,Somewhat aware,Summer,3.66
2,3,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Reheated,North Indian,Aware,Winter,2.15
2,3,Vegetarian,Daily,Medium,Low,Never,Low,Fresh Daily,Fusion,Aware,Summer,1.76
5,2,Mixed,Daily,Large,Medium,Sometimes,Medium,Batch Cooking,North Indian,Somewhat aware,All year,1.51
1,4,Non-Vegetarian,Weekly,Medium,Medium,Often,High,Batch Cooking,Chinese,Somewhat aware,All year,4.27
2,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Street Food,Not aware,Summer,3.93
4,4,Non-Vegetarian,Weekly,Small,Low,Sometimes,Medium,Batch Cooking,Italian,Not aware,Monsoon,3.36
5,2,Vegetarian,Daily,Medium,Low,Sometimes,High,Batch Cooking,Italian,Not aware,Monsoon,2.88
4,1,Non-Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,Street Food,Not aware,Summer,2.28
6,4,Vegetarian,Bulk Buying,Medium,Low,Sometimes,Medium,Reheated,Indian,Not aware,Summer,4.15
6,1,Vegetarian,Bulk Buying,Small,Low,Sometimes,Low,Reheated,Street Food,Not aware,Winter,3.83
1,4,Non-Vegetarian,Bulk Buying,Medium,High,Never,Low,Fresh Daily,Street Food,Aware,Monsoon,3.0
6,1,Mixed,Weekly,Small,High,Never,Medium,Batch Cooking,Indian,Not aware,All year,2.42
4,1,Vegetarian,Weekly,Medium,Medium,Often,High,Reheated,Chinese,Aware,Winter,2.92
4,3,Non-Vegetarian,Weekly,Medium,High,Often,Medium,Batch Cooking,South Indian,Aware,All year,3.19
1,4,Mixed,Daily,Medium,High,Often,Medium,Batch Cooking,Italian,Not aware,Summer,3.42
4,2,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Fresh Daily,Italian,Not aware,Monsoon,2.37
5,1,Non-Vegetarian,Bulk Buying,Large,Low,Often,Medium,Batch Cooking,Street Food,Somewhat aware,Monsoon,4.95
4,1,Mixed,Weekly,Large,Medium,Sometimes,Low,Reheated,Indian,Not aware,Winter,1.54
1,4,Mixed,Daily,Small,Medium,Sometimes,Medium,Reheated,Fusion,Somewhat aware,All year,2.34
4,3,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Fresh Daily,Chinese,Aware,Monsoon,2.19
6,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Monsoon,2.84
5,2,Non-Vegetarian,Weekly,Medium,Low,Often,High,Reheated,Italian,Aware,Winter,4.4
1,2,Mixed,Bulk Buying,Small,High,Sometimes,Medium,Fresh Daily,Italian,Not aware,Summer,1.66
6,1,Non-Vegetarian,Daily,Small,Medium,Sometimes,High,Fresh Daily,Italian,Somewhat aware,Monsoon,2.66
6,4,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,South Indian,Somewhat aware,Summer,3.37
2,3,Non-Vegetarian,Weekly,Small,Low,Never,Medium,Reheated,Fusion,Somewhat aware,Summer,2.1
5,1,Non-Vegetarian,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,Italian,Somewhat aware,Summer,3.74
3,3,Mixed,Weekly,Medium,Low,Often,Low,Batch Cooking,South Indian,Not aware,Summer,3.87
4,2,Vegetarian,Weekly,Medium,High,Often,Medium,Batch Cooking,Indian,Somewhat aware,Winter,2.27
3,1,Non-Vegetarian,Bulk Buying,Small,High,Often,Medium,Reheated,Fusion,Not aware,Winter,2.46
5,2,Vegetarian,Weekly,Medium,High,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,All year,1.29
6,1,Vegetarian,Weekly,Small,Low,Never,High,Batch Cooking,Street Food,Not aware,Summer,4.29
5,1,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Chinese,Aware,Summer,1.14
6,4,Mixed,Weekly,Small,Medium,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,All year,4.04
6,3,Mixed,Bulk Buying,Medium,Low,Never,High,Fresh Daily,South Indian,Not aware,Summer,4.43
1,1,Non-Vegetarian,Daily,Large,Low,Never,Medium,Batch Cooking,Fusion,Not aware,Monsoon,1.03
2,4,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Summer,4.12
5,3,Non-Vegetarian,Weekly,Small,High,Never,High,Batch Cooking,Chinese,Not aware,Summer,2.52
4,4,Mixed,Daily,Small,Medium,Often,Low,Reheated,Italian,Not aware,Summer,4.38
1,3,Mixed,Daily,Medium,Low,Sometimes,Medium,Batch Cooking,Indian,Somewhat aware,All year,2.13
1,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,High,Batch Cooking,Fusion,Not aware,Winter,2.51
4,3,Mixed,Weekly,Medium,Low,Never,Medium,Batch Cooking,North Indian,Not aware,Monsoon,2.75
4,3,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Reheated,North Indian,Not aware,Monsoon,2.61
2,3,Vegetarian,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Italian,Somewhat aware,All year,2.11
2,1,Non-Vegetarian,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Monsoon,1.77
1,2,Mixed,Bulk Buying,Medium,High,Never,Medium,Reheated,South Indian,Somewhat aware,All year,0.78
4,1,Non-Vegetarian,Daily,Medium,High,Often,High,Reheated,North Indian,Aware,All year,1.97
1,2,Non-Vegetarian,Weekly,Large,Medium,Often,Low,Fresh Daily,South Indian,Not aware,All year,3.22
4,1,Vegetarian,Daily,Medium,Low,Never,Medium,Fresh Daily,Indian,Not aware,All year,1.08
3,1,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,South Indian,Aware,All year,1.11
3,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Reheated,Fusion,Not aware,Winter,5.38
5,1,Non-Vegetarian,Bulk Buying,Small,Low,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Winter,2.46
4,4,Non-Vegetarian,Daily,Small,Medium,Never,Medium,Fresh Daily,Chinese,Aware,Monsoon,2.95
5,1,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,High,Reheated,Street Food,Somewhat aware,Monsoon,5.27
5,4,Vegetarian,Bulk Buying,Medium,High,Sometimes,High,Fresh Daily,Italian,Not aware,Monsoon,4.09
6,2,Non-Vegetarian,Weekly,Small,High,Sometimes,High,Fresh Daily,Indian,Not aware,Monsoon,2.53
5,3,Mixed,Weekly,Large,High,Sometimes,High,Batch Cooking,Indian,Not aware,Winter,2.61
4,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,Chinese,Aware,All year,2.93
3,2,Non-Vegetarian,Weekly,Medium,Medium,Often,Medium,Batch Cooking,South Indian,Somewhat aware,Summer,3.01
2,2,Non-Vegetarian,Bulk Buying,Medium,Medium,Never,High,Fresh Daily,Indian,Not aware,Winter,3.54
4,3,Mixed,Bulk Buying,Small,Medium,Often,Medium,Batch Cooking,Street Food,Somewhat aware,Summer,5.01
